name,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Stuart Skinner,https://www.spotrac.com/nhl/player/_/id/23800,2600000,2.95,2500000,-,2023,3,2,2026,7800000,UFA,25-329d,Nov 01 1998,3 Years,CA,Lethbridge,Round 3 (#78 overall) 2017,Edmonton Oilers
Mattias Janmark,https://www.spotrac.com/nhl/player/_/id/16298,1450000,1.65,1250000,500000,2024,3,3,2027,4350000,UFA,31-293d,Dec 08 1992,7 Years,SE,AIK,Round 3 (#79 overall) 2013,Edmonton Oilers
Corey Perry,https://www.spotrac.com/nhl/player/_/id/1403,1150000,1.31,1150000,-,2024,1,1,2025,1150000,UFA,39-197d,Mar 16 1985,18 Years,CA,London,Round 1 (#28 overall) 2003,Edmonton Oilers
Joshua Brown,https://www.spotrac.com/nhl/player/_/id/16645,1000000,1.14,1025000,-,2024,3,3,2027,3000000,UFA,30-249d,Jan 21 1994,5 Years,CA,Oshawa,Round 6 (#152 overall) 2013,Edmonton Oilers
Connor Brown,https://www.spotrac.com/nhl/player/_/id/13745,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,30-256d,Jan 14 1994,8 Years,CA,Erie,Round 6 (#156 overall) 2012,Edmonton Oilers
Calvin Pickard,https://www.spotrac.com/nhl/player/_/id/11883,1000000,1.14,1000000,-,2024,2,2,2026,2000000,UFA,32-165d,Apr 15 1992,8 Years,CA,Seattle,Round 2 (#49 overall) 2010,Edmonton Oilers
Vasily Podkolzin,https://www.spotrac.com/nhl/player/_/id/31634,1000000,1.14,1000000,-,2024,2,2,2026,2000000,RFA,23-93d,Jun 24 2001,1 Years,RU,St. Petersburg,Round 1 (#10 overall) 2019,Edmonton Oilers
Ty Emberson,https://www.spotrac.com/nhl/player/_/id/27143,950000,1.08,950000,-,2024,1,1,2025,950000,UFA,24-125d,May 23 2000,,US,USA U-18,Round 3 (#73 overall) 2018,Edmonton Oilers
Derek Ryan,https://www.spotrac.com/nhl/player/_/id/17605,900000,1.02,900000,-,2023,2,1,2025,1800000,UFA,37-274d,Dec 29 1986,8 Years,US,Spokane,Undrafted CAR 2015,Edmonton Oilers
Troy Stecher,https://www.spotrac.com/nhl/player/_/id/18928,787500,0.89,775000,-,2024,2,2,2026,1575000,UFA,30-173d,Apr 07 1994,7 Years,CA,North Dakota,Undrafted VAN 2016,Edmonton Oilers
Sergei Bobrovsky,https://www.spotrac.com/nhl/player/_/id/8782,10000000,11.36,5000000,1500000,2019,7,2,2026,70000000,UFA,36-9d,Sep 19 1988,12 Years,RU,Novokuznetsk,Undrafted PHI 2010,Florida Panthers
Aleksander Barkov,https://www.spotrac.com/nhl/player/_/id/13413,10000000,11.36,1000000,11000000,2022,8,6,2030,80000000,UFA,29-25d,Sep 02 1995,9 Years,FI,Tappara,Round 1 (#2 overall) 2013,Florida Panthers
Matthew Tkachuk,https://www.spotrac.com/nhl/player/_/id/20286,9500000,10.80,1000000,10250000,2022,8,6,2030,76000000,UFA,26-289d,Dec 11 1997,6 Years,US,London,Round 1 (#6 overall) 2016,Florida Panthers
Sam Reinhart,https://www.spotrac.com/nhl/player/_/id/15572,8625000,9.80,1000000,10000000,2024,8,8,2032,69000000,UFA,28-325d,Nov 06 1995,8 Years,CA,Kootenay,Round 1 (#2 overall) 2014,Florida Panthers
Aaron Ekblad,https://www.spotrac.com/nhl/player/_/id/15822,7500000,8.52,4000000,3000000,2017,8,1,2025,60000000,UFA,28-232d,Feb 07 1996,8 Years,CA,Barrie,Round 1 (#1 overall) 2014,Florida Panthers
Gustav Forsling,https://www.spotrac.com/nhl/player/_/id/19803,5750000,6.53,1000000,5525000,2024,8,8,2032,46000000,UFA,28-106d,Jun 12 1996,5 Years,SE,Linkopings,Round 5 (#126 overall) 2014,Florida Panthers
Anton Lundell,https://www.spotrac.com/nhl/player/_/id/62869,5000000,5.68,3400000,2500000,2024,6,6,2030,30000000,UFA,22-357d,Oct 03 2001,1 Years,FI,,Round 1 (#12 overall) 2020,Florida Panthers
Spencer Knight,https://www.spotrac.com/nhl/player/_/id/31637,4500000,5.11,4500000,-,2023,3,2,2026,13500000,RFA,23-159d,Apr 19 2001,1 Years,US,USA U-18,Round 1 (#13 overall) 2019,Florida Panthers
Sam Bennett,https://www.spotrac.com/nhl/player/_/id/15609,4425000,5.03,5000000,-,2021,4,1,2025,17700000,UFA,28-98d,Jun 20 1996,8 Years,CA,Kingston,Round 1 (#4 overall) 2014,Florida Panthers
Carter Verhaeghe,https://www.spotrac.com/nhl/player/_/id/17938,4166667,4.73,4500000,-,2022,3,1,2025,12500000,UFA,29-44d,Aug 14 1995,3 Years,CA,,Round 3 (#82 overall) 2013,Florida Panthers
Eetu Luostarinen,https://www.spotrac.com/nhl/player/_/id/23761,3000000,3.41,1000000,2500000,2024,3,3,2027,9000000,UFA,26-24d,Sep 02 1998,3 Years,FI,KalPa,Round 2 (#42 overall) 2017,Florida Panthers
Evan Rodrigues,https://www.spotrac.com/nhl/player/_/id/16717,3000000,3.41,775000,2225000,2023,4,3,2027,12000000,UFA,31-61d,Jul 28 1993,7 Years,CA,Boston,Undrafted BUF 2015,Florida Panthers
Niko Mikkola,https://www.spotrac.com/nhl/player/_/id/25989,2500000,2.84,2500000,-,2023,3,2,2026,7500000,UFA,28-152d,Apr 27 1996,3 Years,FI,,Round 5 (#127 overall) 2015,Florida Panthers
Dmitry Kulikov,https://www.spotrac.com/nhl/player/_/id/6432,1150000,1.31,1000000,400000,2024,4,4,2028,4600000,UFA,33-334d,Oct 29 1990,13 Years,RU,Drummondville,Round 1 (#14 overall) 2009,Florida Panthers
Uvis Balinskis,https://www.spotrac.com/nhl/player/_/id/82195,850000,0.97,850000,-,2024,2,2,2026,1700000,UFA,28-56d,Aug 01 1996,,LV,,Undrafted FLA 2023,Florida Panthers
A.J. Greer,https://www.spotrac.com/nhl/player/_/id/20536,850000,0.97,775000,150000,2024,2,2,2026,1700000,UFA,27-286d,Dec 14 1996,6 Years,CA,Boston,Round 2 (#39 overall) 2015,Florida Panthers
Nate Schmidt,https://www.spotrac.com/nhl/player/_/id/12185,800000,0.91,800000,-,2024,1,1,2025,800000,UFA,33-74d,Jul 16 1991,9 Years,US,Minnesota,Undrafted WAS 2013,Florida Panthers
Tobias Bjornfot,https://www.spotrac.com/nhl/player/_/id/31655,775000,0.88,775000,-,2023,2,1,2025,1550000,RFA,23-172d,Apr 06 2001,2 Years,SE,Djurgarden,Round 1 (#22 overall) 2019,Florida Panthers
Jesper Boqvist,https://www.spotrac.com/nhl/player/_/id/23755,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,25-331d,Oct 30 1998,3 Years,SE,Brynas,Round 2 (#36 overall) 2017,Florida Panthers
Adam Boqvist,https://www.spotrac.com/nhl/player/_/id/27047,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,24-41d,Aug 15 2000,4 Years,SE,Almtuna IS,Round 1 (#8 overall) 2018,Florida Panthers
Jonah Gadjovich,https://www.spotrac.com/nhl/player/_/id/23774,775000,0.88,775000,-,2024,2,2,2026,1550000,UFA,25-349d,Oct 12 1998,1 Years,CA,Owen Sound,Round 2 (#55 overall) 2017,Florida Panthers
Tomas Nosek,https://www.spotrac.com/nhl/player/_/id/15344,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,32-26d,Sep 01 1992,7 Years,CZ,Pardubice HC,Undrafted DET 2014,Florida Panthers
Drew Doughty,https://www.spotrac.com/nhl/player/_/id/4864,11000000,12.50,11000000,-,2019,8,3,2027,88000000,UFA,34-295d,Dec 07 1989,14 Years,CA,Guelph,Round 1 (#2 overall) 2008,Los Angeles Kings
Kevin Fiala,https://www.spotrac.com/nhl/player/_/id/15583,7875000,8.95,5500000,3250000,2022,7,5,2029,55125000,UFA,28-66d,Jul 22 1996,8 Years,CH,HV 71,Round 1 (#11 overall) 2014,Los Angeles Kings
Anze Kopitar,https://www.spotrac.com/nhl/player/_/id/1765,7000000,7.95,775000,6225000,2024,2,2,2026,14000000,UFA,37-37d,Aug 23 1987,16 Years,SI,Sodertalje SK,Round 1 (#11 overall) 2005,Los Angeles Kings
Quinton Byfield,https://www.spotrac.com/nhl/player/_/id/62859,6250000,7.10,775000,5500000,2024,5,5,2029,31250000,UFA,22-37d,Aug 19 2002,2 Years,CA,,Round 1 (#2 overall) 2020,Los Angeles Kings
Vladislav Gavrikov,https://www.spotrac.com/nhl/player/_/id/28999,5875000,6.68,775000,4475000,2023,2,1,2025,11750000,UFA,28-310d,Nov 21 1995,3 Years,RU,,Round 6 (#159 overall) 2015,Los Angeles Kings
Adrian Kempe,https://www.spotrac.com/nhl/player/_/id/16678,5500000,6.25,5500000,-,2022,4,2,2026,22000000,UFA,28-13d,Sep 13 1996,6 Years,SE,Ontario,Round 1 (#29 overall) 2014,Los Angeles Kings
Phillip Danault,https://www.spotrac.com/nhl/player/_/id/8573,5500000,6.25,3750000,3000000,2021,6,3,2027,33000000,UFA,31-215d,Feb 24 1993,8 Years,CA,Victoriaville,Round 1 (#26 overall) 2011,Los Angeles Kings
Darcy Kuemper,https://www.spotrac.com/nhl/player/_/id/7992,5250000,5.97,6000000,-,2022,5,3,2027,26250000,UFA,34-146d,May 05 1990,10 Years,CA,Red Deer,Round 6 (#161 overall) 2007,Los Angeles Kings
Trevor Moore,https://www.spotrac.com/nhl/player/_/id/20913,4200000,4.77,4500000,-,2023,5,4,2028,21000000,UFA,29-180d,Mar 31 1995,4 Years,US,Denver,Undrafted TOR 2016,Los Angeles Kings
Michael Anderson,https://www.spotrac.com/nhl/player/_/id/27068,4125000,4.69,4200000,-,2023,8,7,2031,33000000,UFA,25-124d,May 25 1999,3 Years,US,Minnesota-Duluth,Round 4 (#103 overall) 2017,Los Angeles Kings
Joel Edmundson,https://www.spotrac.com/nhl/player/_/id/12016,3850000,4.38,775000,3725000,2024,4,4,2028,15400000,UFA,31-91d,Jun 28 1993,7 Years,CA,Moose Jaw,Round 2 (#46 overall) 2011,Los Angeles Kings
Warren Foegele,https://www.spotrac.com/nhl/player/_/id/21690,3500000,3.98,1000000,3000000,2024,3,3,2027,10500000,UFA,28-178d,Apr 01 1996,6 Years,CA,New Hampshire,Round 3 (#67 overall) 2014,Los Angeles Kings
Tanner Jeannot,https://www.spotrac.com/nhl/player/_/id/25066,2665000,3.03,2285000,-,2023,2,1,2025,5330000,UFA,27-120d,May 29 1997,2 Years,CA,Moose Jaw,Undrafted NSH 2018,Los Angeles Kings
Jordan Spence,https://www.spotrac.com/nhl/player/_/id/31719,1500000,1.70,1000000,300000,2024,2,2,2026,3000000,RFA,23-213d,Feb 24 2001,,CA,Moncton,Round 4 (#95 overall) 2019,Los Angeles Kings
Kyle Burroughs,https://www.spotrac.com/nhl/player/_/id/16644,1100000,1.25,1100000,-,2023,3,2,2026,3300000,UFA,29-77d,Jul 12 1995,2 Years,CA,,Round 7 (#196 overall) 2013,Los Angeles Kings
Andreas Englund,https://www.spotrac.com/nhl/player/_/id/18904,1000000,1.14,1000000,-,2023,2,1,2025,2000000,UFA,28-249d,Jan 21 1996,4 Years,SE,Djurgarden,Round 2 (#40 overall) 2014,Los Angeles Kings
David Rittich,https://www.spotrac.com/nhl/player/_/id/19957,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,32-39d,Aug 19 1992,6 Years,CZ,Mlada Boleslav BK,Undrafted CGY 2016,Los Angeles Kings
Alex Laferriere,https://www.spotrac.com/nhl/player/_/id/62944,875000,0.99,787500,87500,2022,3,1,2025,2625000,RFA,22-332d,Oct 28 2001,,US,,Round 3 (#83 overall) 2020,Los Angeles Kings
Brandt Clarke,https://www.spotrac.com/nhl/player/_/id/73762,863333,0.98,832500,-,2023,3,2,2026,5325000,RFA,21-228d,Feb 09 2003,,CA,Barrie,Round 1 (#8 overall) 2021,Los Angeles Kings
Pheonix Copley,https://www.spotrac.com/nhl/player/_/id/17936,825000,0.94,825000,-,2024,1,1,2025,825000,UFA,32-253d,Jan 18 1992,4 Years,US,Michigan Tech,Undrafted WAS 2014,Los Angeles Kings
Arthur Kaliyev,https://www.spotrac.com/nhl/player/_/id/31657,825000,0.94,825000,-,2024,1,1,2025,825000,RFA,23-91d,Jun 26 2001,2 Years,US,Hamilton,Round 2 (#33 overall) 2019,Los Angeles Kings
Trevor Lewis,https://www.spotrac.com/nhl/player/_/id/7149,800000,0.91,800000,-,2024,1,1,2025,800000,UFA,37-265d,Jan 07 1987,14 Years,US,Central Michigan,Round 1 (#17 overall) 2006,Los Angeles Kings
Akil Thomas,https://www.spotrac.com/nhl/player/_/id/27120,775000,0.88,775000,-,2024,2,2,2026,1550000,RFA,24-267d,Jan 02 2000,,US,Niagara,Round 2 (#51 overall) 2018,Los Angeles Kings
Alex Turcotte,https://www.spotrac.com/nhl/player/_/id/31629,775000,0.88,775000,-,2024,3,3,2027,2325000,RFA,23-211d,Feb 26 2001,,US,USA U-18,Round 1 (#5 overall) 2019,Los Angeles Kings
Kirill Kaprizov,https://www.spotrac.com/nhl/player/_/id/48851,9000000,10.23,10000000,-,2021,5,2,2026,45000000,UFA,27-153d,Apr 26 1997,2 Years,RU,,Undrafted MIN 2020,Minnesota Wild
Jared Spurgeon,https://www.spotrac.com/nhl/player/_/id/7154,7575000,8.61,8000000,-,2020,7,3,2027,53025000,UFA,34-303d,Nov 29 1989,12 Years,CA,Spokane,Round 6 (#156 overall) 2008,Minnesota Wild
Matthew Boldy,https://www.spotrac.com/nhl/player/_/id/31636,7000000,7.95,9700000,-,2023,7,6,2030,49000000,UFA,23-173d,Apr 05 2001,1 Years,US,USA U-18,Round 1 (#12 overall) 2019,Minnesota Wild
Jonas Brodin,https://www.spotrac.com/nhl/player/_/id/8252,6000000,6.82,8000000,-,2021,7,4,2028,42000000,UFA,31-77d,Jul 12 1993,10 Years,SE,Farjestad,Round 1 (#10 overall) 2011,Minnesota Wild
Joel Eriksson Ek,https://www.spotrac.com/nhl/player/_/id/17993,5250000,5.97,9000000,-,2021,8,5,2029,42000000,UFA,27-240d,Jan 29 1997,6 Years,SE,Farjestad,Round 1 (#20 overall) 2015,Minnesota Wild
Mats Zuccarello-Aasen,https://www.spotrac.com/nhl/player/_/id/6851,4125000,4.69,4700000,-,2024,2,2,2026,8250000,UFA,37-29d,Aug 31 1987,12 Years,NO,MODO,Undrafted NYR 2010,Minnesota Wild
Marcus Foligno,https://www.spotrac.com/nhl/player/_/id/7989,4000000,4.55,5000000,-,2024,4,4,2028,16000000,UFA,33-49d,Aug 10 1991,11 Years,US,Sudbury,Round 4 (#104 overall) 2009,Minnesota Wild
Ryan Hartman,https://www.spotrac.com/nhl/player/_/id/13718,4000000,4.55,5000000,-,2024,3,3,2027,12000000,UFA,29-7d,Sep 20 1994,8 Years,US,Plymouth,Round 1 (#30 overall) 2013,Minnesota Wild
Filip Gustavsson,https://www.spotrac.com/nhl/player/_/id/20340,3750000,4.26,4000000,-,2023,3,2,2026,11250000,UFA,26-111d,Jun 07 1998,2 Years,SE,Lulea,Round 2 (#55 overall) 2016,Minnesota Wild
Yakov Trenin,https://www.spotrac.com/nhl/player/_/id/17985,3500000,3.98,4000000,-,2024,4,4,2028,14000000,UFA,27-256d,Jan 13 1997,3 Years,RU,Gatineau,Round 2 (#55 overall) 2015,Minnesota Wild
Marc-Andre Fleury,https://www.spotrac.com/nhl/player/_/id/2041,2500000,2.84,2500000,-,2024,1,1,2025,2500000,UFA,39-305d,Nov 28 1984,18 Years,CA,Cape Breton,Round 1 (#1 overall) 2003,Minnesota Wild
Jacob Middleton,https://www.spotrac.com/nhl/player/_/id/24472,2450000,2.78,2050000,-,2025,4,5,2029,17400000,UFA,28-268d,Jan 02 1996,4 Years,CA,,Undrafted SJS 2017,Minnesota Wild
Frederick Gaudreau,https://www.spotrac.com/nhl/player/_/id/18576,2100000,2.39,2240000,-,2023,5,4,2028,10500000,UFA,31-149d,May 01 1993,5 Years,CA,Shawinigan,Undrafted NSH 2016,Minnesota Wild
Marcus Johansson,https://www.spotrac.com/nhl/player/_/id/6811,2000000,2.27,2000000,-,2023,2,1,2025,4000000,UFA,33-357d,Oct 06 1990,12 Years,SE,Farjestad,Round 1 (#24 overall) 2009,Minnesota Wild
Zach Bogosian,https://www.spotrac.com/nhl/player/_/id/4819,1250000,1.42,1250000,-,2024,2,2,2026,2500000,UFA,34-75d,Jul 15 1990,14 Years,US,Peterborough,Round 1 (#3 overall) 2008,Minnesota Wild
Jon Merrill,https://www.spotrac.com/nhl/player/_/id/13052,1200000,1.36,1200000,-,2022,3,1,2025,3600000,UFA,32-237d,Feb 03 1992,9 Years,US,Michigan,Round 2 (#38 overall) 2010,Minnesota Wild
Declan Chisholm,https://www.spotrac.com/nhl/player/_/id/27221,1000000,1.14,1000000,-,2024,1,1,2025,1000000,UFA,24-257d,Jan 12 2000,,CA,Peterborough,Round 5 (#150 overall) 2018,Minnesota Wild
Brock Faber,https://www.spotrac.com/nhl/player/_/id/62906,925000,1.05,832500,92500,2025,8,9,2033,68000000,UFA,22-34d,Aug 22 2002,,US,,Round 2 (#45 overall) 2020,Minnesota Wild
Marat Khusnutdinov,https://www.spotrac.com/nhl/player/_/id/62898,925000,1.05,832500,92500,2023,2,1,2025,2700000,RFA,22-70d,Jul 17 2002,,RU,,Round 2 (#37 overall) 2020,Minnesota Wild
Liam Ohgren,https://www.spotrac.com/nhl/player/_/id/78329,886667,1.01,855000,95000,2024,3,3,2027,4325000,RFA,20-240d,Jan 28 2004,,SE,,Round 1 (#19 overall) 2022,Minnesota Wild
Marco Rossi,https://www.spotrac.com/nhl/player/_/id/62866,863333,0.98,832500,-,2022,3,1,2025,5325000,RFA,22-2d,Sep 23 2001,,AT,,Round 1 (#9 overall) 2020,Minnesota Wild
Jakub Lauko,https://www.spotrac.com/nhl/player/_/id/27147,787500,0.89,800000,-,2023,2,1,2025,1575000,RFA,24-181d,Mar 28 2000,1 Years,CZ,Chomutov,Round 3 (#77 overall) 2018,Minnesota Wild
Reese Johnson,https://www.spotrac.com/nhl/player/_/id/28750,775000,0.88,775000,-,2024,1,1,2025,775000,RFA,26-78d,Jul 10 1998,3 Years,CA,,Undrafted CHI 2019,Minnesota Wild
Carey Price,https://www.spotrac.com/nhl/player/_/id/1837,10500000,11.93,2000000,5500000,2018,8,2,2026,84000000,UFA,37-45d,Aug 15 1987,14 Years,CA,Tri-City,Round 1 (#5 overall) 2005,Montreal Canadiens
Patrik Laine,https://www.spotrac.com/nhl/player/_/id/20277,8700000,9.89,7100000,2000000,2022,4,2,2026,34800000,UFA,26-160d,Apr 19 1998,7 Years,FI,Tappara,Round 1 (#2 overall) 2016,Montreal Canadiens
Nick Suzuki,https://www.spotrac.com/nhl/player/_/id/23692,7875000,8.95,10000000,-,2022,8,6,2030,63000000,UFA,25-47d,Aug 10 1999,3 Years,CA,Owen Sound,Round 1 (#13 overall) 2017,Montreal Canadiens
Cole Caufield,https://www.spotrac.com/nhl/player/_/id/31639,7850000,8.92,4975000,5000000,2023,8,7,2031,62800000,UFA,23-266d,Jan 02 2001,2 Years,US,USA U-18,Round 1 (#15 overall) 2019,Montreal Canadiens
Brendan Gallagher,https://www.spotrac.com/nhl/player/_/id/8467,6500000,7.39,9000000,-,2021,6,3,2027,39000000,UFA,32-144d,May 06 1992,10 Years,CA,Vancouver,Round 5 (#147 overall) 2010,Montreal Canadiens
Josh Anderson,https://www.spotrac.com/nhl/player/_/id/13689,5500000,6.25,7000000,-,2020,7,3,2027,38500000,UFA,30-143d,May 07 1994,8 Years,CA,London,Round 4 (#95 overall) 2012,Montreal Canadiens
Michael Matheson,https://www.spotrac.com/nhl/player/_/id/16618,4875000,5.54,4000000,2500000,2018,8,2,2026,39000000,UFA,30-212d,Feb 27 1994,7 Years,CA,Boston College,Round 1 (#23 overall) 2012,Montreal Canadiens
Christian Dvorak,https://www.spotrac.com/nhl/player/_/id/16714,4450000,5.06,5750000,-,2019,6,1,2025,26700000,UFA,28-237d,Feb 02 1996,6 Years,US,Wisconsin,Round 2 (#58 overall) 2014,Montreal Canadiens
David Savard,https://www.spotrac.com/nhl/player/_/id/6862,3500000,3.98,2300000,500000,2021,4,1,2025,14000000,UFA,33-342d,Oct 21 1990,11 Years,CA,Moncton,Round 4 (#94 overall) 2009,Montreal Canadiens
Joel Armia,https://www.spotrac.com/nhl/player/_/id/10738,3400000,3.86,3800000,-,2021,4,1,2025,13600000,UFA,32-119d,May 31 1992,8 Years,FI,Assat Pori,Round 1 (#16 overall) 2011,Montreal Canadiens
Kirby Dach,https://www.spotrac.com/nhl/player/_/id/31627,3362500,3.82,2850000,-,2022,4,2,2026,13450000,UFA,23-247d,Jan 21 2001,3 Years,CA,Saskatoon,Round 1 (#3 overall) 2019,Montreal Canadiens
Samuel Montembeault,https://www.spotrac.com/nhl/player/_/id/19784,3150000,3.58,3000000,1000000,2024,3,3,2027,9450000,UFA,27-331d,Oct 30 1996,3 Years,CA,Blainville-Boisbrian,Round 3 (#77 overall) 2015,Montreal Canadiens
Alex Newhook,https://www.spotrac.com/nhl/player/_/id/31640,2900000,3.30,3300000,-,2023,4,3,2027,11600000,RFA,23-240d,Jan 28 2001,2 Years,CA,Boston College,Round 1 (#16 overall) 2019,Montreal Canadiens
Jake Evans,https://www.spotrac.com/nhl/player/_/id/25078,1700000,1.93,1700000,-,2022,3,1,2025,5100000,UFA,28-116d,Jun 02 1996,3 Years,CA,Notre Dame,Round 7 (#207 overall) 2014,Montreal Canadiens
Arber Xhekaj,https://www.spotrac.com/nhl/player/_/id/74573,1300000,1.48,1300000,-,2024,2,2,2026,2600000,RFA,23-238d,Jan 30 2001,,CA,,Undrafted MTL 2021,Montreal Canadiens
Justin Barron,https://www.spotrac.com/nhl/player/_/id/62882,1150000,1.31,1150000,-,2024,2,2,2026,2300000,RFA,22-314d,Nov 15 2001,1 Years,CA,,Round 1 (#25 overall) 2020,Montreal Canadiens
Rafael Harvey-Pinard,https://www.spotrac.com/nhl/player/_/id/31825,1100000,1.25,1000000,-,2023,2,1,2025,2200000,RFA,25-263d,Jan 06 1999,,CA,Rouyn-Noranda,Round 7 (#201 overall) 2019,Montreal Canadiens
Lane Hutson,https://www.spotrac.com/nhl/player/_/id/78372,950000,1.08,855000,95000,2023,3,2,2026,4450000,RFA,20-223d,Feb 14 2004,,US,,Round 2 (#62 overall) 2022,Montreal Canadiens
Juraj Slafkovsky,https://www.spotrac.com/nhl/player/_/id/78311,950000,1.08,855000,95000,2025,8,9,2033,60800000,UFA,20-178d,Mar 30 2004,,SK,,Round 1 (#1 overall) 2022,Montreal Canadiens
Cayden Primeau,https://www.spotrac.com/nhl/player/_/id/28971,890000,1.01,1100000,-,2022,3,1,2025,2670000,RFA,25-46d,Aug 11 1999,,US,,Round 7 (#199 overall) 2017,Montreal Canadiens
Jayden Struble,https://www.spotrac.com/nhl/player/_/id/31670,867500,0.99,775000,92500,2023,2,1,2025,1850000,RFA,23-47d,Aug 09 2001,,US,St. Sebastians,Round 2 (#46 overall) 2019,Montreal Canadiens
Kaiden Guhle,https://www.spotrac.com/nhl/player/_/id/62873,863333,0.98,832500,-,2025,6,7,2031,33300000,UFA,22-250d,Jan 18 2002,,CA,,Round 1 (#16 overall) 2020,Montreal Canadiens
Joshua Roy,https://www.spotrac.com/nhl/player/_/id/73927,835000,0.95,775000,85000,2023,3,2,2026,2710000,RFA,21-50d,Aug 06 2003,,CA,Sherbrooke,Round 5 (#150 overall) 2021,Montreal Canadiens
Michael Pezzetta,https://www.spotrac.com/nhl/player/_/id/20447,812500,0.92,850000,-,2023,2,1,2025,1625000,UFA,26-197d,Mar 13 1998,1 Years,CA,Sudbury,Round 6 (#160 overall) 2016,Montreal Canadiens
Alex Barre-Boulet,https://www.spotrac.com/nhl/player/_/id/24995,775000,0.88,775000,-,2024,1,1,2025,775000,UFA,27-128d,May 21 1997,2 Years,CA,,Undrafted TBL 2018,Montreal Canadiens
Roman Josi,https://www.spotrac.com/nhl/player/_/id/6839,9059000,10.29,9000000,-,2020,8,4,2028,72472000,UFA,34-119d,Jun 01 1990,11 Years,CH,Bern,Round 2 (#38 overall) 2008,Nashville Predators
Filip Forsberg,https://www.spotrac.com/nhl/player/_/id/10758,8500000,9.66,10000000,-,2022,8,6,2030,68000000,UFA,30-45d,Aug 13 1994,10 Years,SE,Leksand,Round 1 (#11 overall) 2012,Nashville Predators
Steven Stamkos,https://www.spotrac.com/nhl/player/_/id/4918,8000000,9.09,7500000,2000000,2024,4,4,2028,32000000,UFA,34-233d,Feb 07 1990,14 Years,CA,Sarnia,Round 1 (#1 overall) 2008,Nashville Predators
Brady Skjei,https://www.spotrac.com/nhl/player/_/id/16619,7000000,7.95,6000000,4000000,2024,7,7,2031,49000000,UFA,30-185d,Mar 26 1994,8 Years,US,Minnesota,Round 1 (#28 overall) 2012,Nashville Predators
Jonathan Marchessault,https://www.spotrac.com/nhl/player/_/id/16608,5500000,6.25,4000000,3000000,2024,5,5,2029,27500000,UFA,33-275d,Dec 27 1990,9 Years,CA,Quebec,Undrafted CBJ 2012,Nashville Predators
Juuse Saros,https://www.spotrac.com/nhl/player/_/id/17915,5000000,5.68,5000000,-,2025,8,9,2033,61920000,UFA,29-161d,Apr 19 1995,7 Years,FI,HPK,Round 4 (#99 overall) 2013,Nashville Predators
Ryan O'Reilly,https://www.spotrac.com/nhl/player/_/id/6353,4500000,5.11,5000000,-,2023,4,3,2027,18000000,UFA,33-233d,Feb 07 1991,13 Years,CA,Erie,Round 2 (#33 overall) 2009,Nashville Predators
Alex Carrier,https://www.spotrac.com/nhl/player/_/id/18296,3750000,4.26,4600000,-,2024,3,3,2027,11250000,UFA,33-222d,Feb 18 1991,4 Years,CA,Val-d'Or,Round 4 (#115 overall) 2015,Nashville Predators
Thomas Novak,https://www.spotrac.com/nhl/player/_/id/47425,3500000,3.98,3500000,-,2024,3,3,2027,10500000,UFA,27-161d,Apr 18 1997,1 Years,US,,Round 3 (#85 overall) 2015,Nashville Predators
Gustav Nyquist,https://www.spotrac.com/nhl/player/_/id/11662,3185000,3.62,3185000,-,2023,2,1,2025,6370000,UFA,35-28d,Aug 31 1989,10 Years,SE,Maine,Round 4 (#121 overall) 2008,Nashville Predators
Colton Sissons,https://www.spotrac.com/nhl/player/_/id/10797,2857412,3.25,2300000,-,2019,7,2,2026,20000000,UFA,30-326d,Nov 05 1993,8 Years,CA,Kelowna,Round 2 (#50 overall) 2012,Nashville Predators
Luke Schenn,https://www.spotrac.com/nhl/player/_/id/4926,2750000,3.13,2750000,-,2023,3,2,2026,8250000,UFA,34-330d,Nov 02 1989,14 Years,CA,Kelowna,Round 1 (#5 overall) 2008,Nashville Predators
Dante Fabbro,https://www.spotrac.com/nhl/player/_/id/20300,2500000,2.84,2500000,-,2024,1,1,2025,2500000,UFA,26-98d,Jun 20 1998,4 Years,CA,Penticton,Round 1 (#17 overall) 2016,Nashville Predators
Jeremy Lauzon,https://www.spotrac.com/nhl/player/_/id/18299,2000000,2.27,2000000,-,2022,4,2,2026,8000000,UFA,27-151d,Apr 28 1997,4 Years,CA,Rouyn-Noranda,Round 2 (#52 overall) 2015,Nashville Predators
Scott Wedgewood,https://www.spotrac.com/nhl/player/_/id/8958,1500000,1.70,1500000,-,2024,2,2,2026,3000000,UFA,32-44d,Aug 14 1992,5 Years,CA,Plymouth,Round 3 (#84 overall) 2010,Nashville Predators
Cole Smith,https://www.spotrac.com/nhl/player/_/id/47398,1000000,1.14,1000000,-,2024,2,2,2026,2000000,UFA,28-334d,Oct 28 1995,2 Years,US,,Undrafted NSH 2020,Nashville Predators
