player,Position,cps,url,cap_hit,cap_hit_pct,base_salary,signing_bonus,contract_start_year,contract_years_signed,contract_years_left,free_agent_year,salary_signed,status_after_contract,age,birthday,experience,country,college,drafted,team_name
Dmitri Voronkov,L,0.3264072301761656,https://www.spotrac.com/nhl/player/_/id/31738,925000,1.05,832500,92500,2023,2,1,2025,1850000,RFA,24-15d,Sep 10 2000,,RU,Bars Kazan,Round 4 (#114 overall) 2019,Columbus Blue Jackets
Connor Zary,C,0.3103919668811331,https://www.spotrac.com/nhl/player/_/id/62881,863333,0.98,832500,-,2022,3,1,2025,3200000,RFA,22-0d,Sep 25 2001,,CA,,Round 1 (#24 overall) 2020,Calgary Flames
Alex Pietrangelo,D,0.4805565121467356,https://www.spotrac.com/nhl/player/_/id/6375,8800000,10.0,4500000,8000000,2020,7,3,2027,61600000,UFA,34-253d,Jan 18 1990,14 Years,CA,Niagara,Round 1 (#4 overall) 2008,Vegas Golden Knights
Jean-Gabriel Pageau,C,0.3468935541103763,https://www.spotrac.com/nhl/player/_/id/10725,5000000,5.68,4000000,-,2020,6,2,2026,30000000,UFA,31-320d,Nov 11 1992,10 Years,CA,Gatineau,Round 4 (#95 overall) 2011,New York Islanders
Yanni Gourde,C,0.3974991176945588,https://www.spotrac.com/nhl/player/_/id/17591,5166666,5.87,5100000,-,2019,6,1,2025,31000000,UFA,32-287d,Dec 15 1991,7 Years,CA,Victoriaville,Undrafted TBL 2014,Seattle Kraken
Andrew Copp,C,0.3495008847876954,https://www.spotrac.com/nhl/player/_/id/16548,5625000,6.39,6250000,-,2022,5,3,2027,28125000,UFA,30-81d,Jul 08 1994,9 Years,US,Michigan,Round 4 (#104 overall) 2013,Detroit Red Wings
Brandon Montour,D,0.4046389634143582,https://www.spotrac.com/nhl/player/_/id/17551,7142857,8.12,3000000,5000000,2024,7,7,2031,50000000,UFA,30-169d,Apr 11 1994,6 Years,CA,Waterloo,Round 2 (#55 overall) 2014,Seattle Kraken
Darren Raddysh,D,0.4004703141544615,https://www.spotrac.com/nhl/player/_/id/25969,975000,1.11,1114000,-,2024,2,2,2026,1950000,UFA,28-211d,Feb 28 1996,1 Years,CA,Erie,Undrafted CHI 2018,Tampa Bay Lightning
Michael Rasmussen,C,0.3347521910832379,https://www.spotrac.com/nhl/player/_/id/23688,3200000,3.64,2050000,500000,2024,4,4,2028,12800000,UFA,25-162d,Apr 17 1999,4 Years,CA,Tri-City,Round 1 (#9 overall) 2017,Detroit Red Wings
Neal Pionk,D,0.5286546302794943,https://www.spotrac.com/nhl/player/_/id/22458,5875000,6.68,6000000,-,2021,4,1,2025,23500000,UFA,29-60d,Jul 29 1995,5 Years,US,Minnesota-Duluth,Undrafted NYR 2017,Winnipeg Jets
Connor McMichael,C,0.359199841250474,https://www.spotrac.com/nhl/player/_/id/31648,2100000,2.39,1600000,500000,2024,2,2,2026,4200000,RFA,23-253d,Jan 15 2001,1 Years,CA,London,Round 1 (#25 overall) 2019,Washington Capitals
Drew O'Connor,L,0.3618411939897671,https://www.spotrac.com/nhl/player/_/id/47365,925000,1.05,925000,-,2023,2,1,2025,1850000,UFA,26-109d,Jun 09 1998,2 Years,US,,Undrafted PIT 2020,Pittsburgh Penguins
Tyson Foerster,R,0.3725495997554479,https://www.spotrac.com/nhl/player/_/id/62880,863333,0.98,832500,-,2022,3,1,2025,2775000,RFA,22-250d,Jan 18 2002,,CA,,Round 1 (#23 overall) 2020,Philadelphia Flyers
Owen Power,D,0.4332560197892776,https://www.spotrac.com/nhl/player/_/id/73753,8350000,9.49,6350000,2000000,2024,7,7,2031,58450000,UFA,21-307d,Nov 22 2002,2 Years,CA,Michigan,Round 1 (#1 overall) 2021,Buffalo Sabres
Ryan McDonagh,D,0.4635547682311145,https://www.spotrac.com/nhl/player/_/id/7177,6750000,7.67,6930000,-,2019,7,2,2026,47250000,UFA,35-107d,Jun 13 1989,12 Years,US,Wisconsin,Round 1 (#12 overall) 2007,Tampa Bay Lightning
Oliver Ekman-Larsson,D,0.3895044984904127,https://www.spotrac.com/nhl/player/_/id/8775,3500000,3.98,1000000,3500000,2024,4,4,2028,14000000,UFA,33-73d,Jul 17 1991,10 Years,SE,Leksand,Round 1 (#6 overall) 2009,Toronto Maple Leafs
Jason Zucker,L,0.2991134960681913,https://www.spotrac.com/nhl/player/_/id/9384,5000000,5.68,5000000,-,2024,1,1,2025,5000000,UFA,32-255d,Jan 16 1992,12 Years,CA,Denver,Round 2 (#59 overall) 2010,Buffalo Sabres
Jordan Martinook,L,0.3366853955618425,https://www.spotrac.com/nhl/player/_/id/10804,3050000,3.47,1000000,2800000,2024,3,3,2027,9150000,UFA,32-64d,Jul 25 1992,9 Years,CA,Vancouver,Round 2 (#58 overall) 2012,Carolina Hurricanes
Darnell Nurse,D,0.5573050210559459,https://www.spotrac.com/nhl/player/_/id/13452,9250000,10.51,12000000,-,2022,8,6,2030,74000000,UFA,29-235d,Feb 04 1995,9 Years,CA,Sault Ste. Marie,Round 1 (#7 overall) 2013,Edmonton Oilers
Robby Fabbri,C,0.3049181266093894,https://www.spotrac.com/nhl/player/_/id/15819,4000000,4.55,4250000,-,2022,3,1,2025,12000000,UFA,28-248d,Jan 22 1996,8 Years,CA,Guelph,Round 1 (#21 overall) 2014,Anaheim Ducks
Dakota Joshua,C,0.3423225169006043,https://www.spotrac.com/nhl/player/_/id/32386,3250000,3.69,2500000,2000000,2024,4,4,2028,13000000,UFA,28-134d,May 15 1996,2 Years,US,,Round 5 (#128 overall) 2014,Vancouver Canucks
Ivan Provorov,D,0.4731223497587244,https://www.spotrac.com/nhl/player/_/id/17968,4725000,5.37,6625000,2000000,2019,6,1,2025,40500000,UFA,27-256d,Jan 13 1997,7 Years,RU,Brandon,Round 1 (#7 overall) 2015,Columbus Blue Jackets
Cole Sillinger,C,0.3500682486171086,https://www.spotrac.com/nhl/player/_/id/73766,2250000,2.56,2250000,-,2024,2,2,2026,4500000,RFA,21-132d,May 16 2003,2 Years,CA,Sioux Falls,Round 1 (#12 overall) 2021,Columbus Blue Jackets
Lars Eller,C,0.3917921827196499,https://www.spotrac.com/nhl/player/_/id/7155,2450000,2.78,2450000,-,2023,2,1,2025,4900000,UFA,35-144d,May 07 1989,13 Years,DK,Frolunda,Round 1 (#13 overall) 2007,Pittsburgh Penguins
Brendan Gallagher,R,0.31959008085067,https://www.spotrac.com/nhl/player/_/id/8467,6500000,7.39,9000000,-,2021,6,3,2027,39000000,UFA,32-144d,May 06 1992,10 Years,CA,Vancouver,Round 5 (#147 overall) 2010,Montreal Canadiens
Ondrej Palat,L,0.2912429251410941,https://www.spotrac.com/nhl/player/_/id/8463,6000000,6.82,1770000,3180000,2022,5,3,2027,30000000,UFA,33-184d,Mar 28 1991,10 Years,CZ,Drummondville,Round 7 (#208 overall) 2011,New Jersey Devils
Erik Gustafsson,D,0.3503053178621786,https://www.spotrac.com/nhl/player/_/id/17516,2000000,2.27,2000000,-,2024,2,2,2026,4000000,UFA,32-197d,Mar 14 1992,6 Years,SE,Frolunda,Round 4 (#93 overall) 2012,Detroit Red Wings
Seth Jones,D,0.476717921844571,https://www.spotrac.com/nhl/player/_/id/13407,9500000,10.8,7500000,5000000,2022,8,6,2030,76000000,UFA,29-359d,Oct 03 1994,10 Years,US,Portland,Round 1 (#4 overall) 2013,Chicago Blackhawks
Jack Roslovic,C,0.2788891001653367,https://www.spotrac.com/nhl/player/_/id/20888,2800000,3.18,2800000,-,2024,1,1,2025,2800000,UFA,27-240d,Jan 29 1997,7 Years,US,Miami (OH),Round 1 (#25 overall) 2015,Carolina Hurricanes
Ilya Mikheyev,R,0.3052380817903432,https://www.spotrac.com/nhl/player/_/id/29812,4750000,5.4,5150000,-,2022,4,2,2026,19000000,UFA,29-352d,Oct 10 1994,,RU,,Undrafted TOR 2019,Chicago Blackhawks
Jordan Staal,C,0.3303142746269196,https://www.spotrac.com/nhl/player/_/id/2028,2900000,3.3,3410000,-,2023,4,3,2027,11600000,UFA,36-18d,Sep 10 1988,17 Years,CA,Peterborough,Round 1 (#2 overall) 2006,Carolina Hurricanes
Marcus Johansson,L,0.3045298237643335,https://www.spotrac.com/nhl/player/_/id/6811,2000000,2.27,2000000,-,2023,2,1,2025,4000000,UFA,33-357d,Oct 06 1990,12 Years,SE,Farjestad,Round 1 (#24 overall) 2009,Minnesota Wild
Justin Faulk,D,0.4005003134459793,https://www.spotrac.com/nhl/player/_/id/7667,6500000,7.39,4750000,-,2020,7,3,2027,45500000,UFA,32-191d,Mar 20 1992,11 Years,US,Minnesota-Duluth,Round 2 (#37 overall) 2010,St. Louis Blues
Jaden Schwartz,C,0.3307724826238671,https://www.spotrac.com/nhl/player/_/id/8965,5500000,6.25,5500000,-,2021,5,2,2026,27500000,UFA,32-94d,Jun 25 1992,11 Years,CA,Colorado,Round 1 (#14 overall) 2010,Seattle Kraken
Alex Wennberg,C,0.3667640475889371,https://www.spotrac.com/nhl/player/_/id/15222,5000000,5.68,4000000,1000000,2024,2,2,2026,10000000,UFA,29-5d,Sep 22 1994,8 Years,SE,Djurgarden,Round 1 (#14 overall) 2013,San Jose Sharks
Marcus Pettersson,D,0.547570596922644,https://www.spotrac.com/nhl/player/_/id/17904,4025175,4.57,4025175,-,2020,5,1,2025,20125875,UFA,28-141d,May 08 1996,5 Years,SE,Skelleftea,Round 2 (#38 overall) 2014,Pittsburgh Penguins
Ryan Donato,C,0.329734776978254,https://www.spotrac.com/nhl/player/_/id/25025,2000000,2.27,2000000,-,2023,2,1,2025,4000000,UFA,28-170d,Apr 09 1996,6 Years,US,Harvard,Round 2 (#56 overall) 2014,Chicago Blackhawks
Thomas Chabot,D,0.3418276481400217,https://www.spotrac.com/nhl/player/_/id/18267,8000000,9.09,10000000,-,2020,8,4,2028,64000000,UFA,27-239d,Jan 30 1997,6 Years,CA,Saint John,Round 1 (#18 overall) 2015,Ottawa Senators
Josh Norris,C,0.2998631611467561,https://www.spotrac.com/nhl/player/_/id/23698,7950000,9.03,9500000,-,2022,8,6,2030,63600000,UFA,25-144d,May 05 1999,2 Years,US,USA U-18,Round 1 (#19 overall) 2017,Ottawa Senators
Alexandre Texier,C,0.2979330093097958,https://www.spotrac.com/nhl/player/_/id/23764,2100000,2.39,2100000,-,2024,2,2,2026,4200000,UFA,25-13d,Sep 13 1999,4 Years,FR,Grenoble,Round 2 (#45 overall) 2017,St. Louis Blues
Ryan McLeod,C,0.3842731573771743,https://www.spotrac.com/nhl/player/_/id/27109,2100000,2.39,2100000,-,2023,2,1,2025,4200000,RFA,24-5d,Sep 21 1999,3 Years,CA,Mississauga,Round 2 (#40 overall) 2018,Buffalo Sabres
K'Andre Miller,D,0.510003850658187,https://www.spotrac.com/nhl/player/_/id/27085,3872000,4.4,4646000,-,2023,2,1,2025,7744000,RFA,24-248d,Jan 21 2000,2 Years,US,USA U-18,Round 1 (#22 overall) 2018,New York Rangers
Zach Benson,L,0.2834144467312025,https://www.spotrac.com/nhl/player/_/id/84501,950000,1.08,855000,95000,2023,3,2,2026,4800000,RFA,19-135d,May 12 2005,,CA,,Round 1 (#13 overall) 2023,Buffalo Sabres
Tyler Myers,D,0.4410348805358597,https://www.spotrac.com/nhl/player/_/id/6348,3000000,3.41,3800000,-,2024,3,3,2027,9000000,UFA,34-239d,Feb 01 1990,13 Years,US,Kelowna,Round 1 (#12 overall) 2008,Vancouver Canucks
Kevin Hayes,R,0.3151872512387816,https://www.spotrac.com/nhl/player/_/id/15821,7142857,8.12,4000000,1250000,2019,7,2,2026,50000000,UFA,32-142d,May 08 1992,8 Years,US,Boston College,Round 1 (#24 overall) 2010,Pittsburgh Penguins
Michael Carcone,L,0.2793861796264982,https://www.spotrac.com/nhl/player/_/id/20801,775000,0.88,775000,-,2023,2,1,2025,1550000,UFA,28-130d,May 19 1996,2 Years,CA,Drummondville,Undrafted VAN 2016,Utah Hockey Club
Sean Walker,D,0.489148210894231,https://www.spotrac.com/nhl/player/_/id/27352,3600000,4.09,4000000,1000000,2024,5,5,2029,18000000,UFA,29-318d,Nov 13 1994,4 Years,CA,Bowling Green,Undrafted LAK 2018,Carolina Hurricanes
Pius Suter,C,0.346005612364795,https://www.spotrac.com/nhl/player/_/id/48857,1600000,1.82,1600000,-,2023,2,1,2025,3200000,UFA,28-125d,May 24 1996,2 Years,CH,,Undrafted CHI 2020,Vancouver Canucks
Bowen Byram,D,0.4026579575247306,https://www.spotrac.com/nhl/player/_/id/31628,3850000,4.38,4620000,-,2023,2,1,2025,7700000,RFA,23-104d,Jun 13 2001,3 Years,CA,Vancouver,Round 1 (#4 overall) 2019,Buffalo Sabres
Aliaksei Protas,C,0.3148964262399482,https://www.spotrac.com/nhl/player/_/id/31715,3375000,3.84,2000000,2000000,2024,5,5,2029,16875000,UFA,23-262d,Jan 06 2001,,BY,Prince Albert,Round 3 (#91 overall) 2019,Washington Capitals
Yegor Chinakhov,R,0.2665112433173969,https://www.spotrac.com/nhl/player/_/id/62878,2100000,2.39,2100000,-,2024,2,2,2026,4200000,RFA,23-236d,Feb 01 2001,2 Years,RU,,Round 1 (#21 overall) 2020,Columbus Blue Jackets
Leo Carlsson,C,0.2972752783217575,https://www.spotrac.com/nhl/player/_/id/84490,950000,1.08,855000,95000,2023,3,2,2026,12600000,RFA,19-272d,Dec 26 2004,,SE,,Round 1 (#2 overall) 2023,Anaheim Ducks
Cam Atkinson,R,0.3040170684257416,https://www.spotrac.com/nhl/player/_/id/8819,900000,1.02,900000,-,2024,1,1,2025,900000,UFA,35-116d,Jun 04 1989,11 Years,US,Boston College,Round 6 (#157 overall) 2008,Tampa Bay Lightning
Nick Leddy,D,0.4697091565249376,https://www.spotrac.com/nhl/player/_/id/8434,4000000,4.55,3500000,-,2022,4,2,2026,16000000,UFA,33-192d,Mar 20 1991,12 Years,US,Minnesota,Round 1 (#16 overall) 2009,St. Louis Blues
Damon Severson,D,0.3645841802259609,https://www.spotrac.com/nhl/player/_/id/10806,6250000,7.1,6000000,2000000,2023,8,7,2031,50000000,UFA,30-51d,Aug 07 1994,9 Years,CA,Kelowna,Round 2 (#60 overall) 2012,Columbus Blue Jackets
Jake McCabe,D,0.4888088090955175,https://www.spotrac.com/nhl/player/_/id/10791,4000000,4.55,5000000,-,2021,4,1,2025,16000000,UFA,30-350d,Oct 12 1993,9 Years,US,Wisconsin,Round 2 (#44 overall) 2012,Toronto Maple Leafs
Pierre Engvall,L,0.3001696925260044,https://www.spotrac.com/nhl/player/_/id/25953,3000000,3.41,3000000,-,2023,7,6,2030,21000000,UFA,28-118d,May 31 1996,3 Years,SE,HV71 Jonkoping,Round 7 (#188 overall) 2014,New York Islanders
Jake Evans,C,0.3259642792030652,https://www.spotrac.com/nhl/player/_/id/25078,1700000,1.93,1700000,-,2022,3,1,2025,5100000,UFA,28-116d,Jun 02 1996,3 Years,CA,Notre Dame,Round 7 (#207 overall) 2014,Montreal Canadiens
Jordan Greenway,L,0.2927832966072173,https://www.spotrac.com/nhl/player/_/id/25046,3000000,3.41,3000000,-,2022,3,1,2025,9000000,UFA,27-222d,Feb 16 1997,6 Years,US,Boston,Round 2 (#50 overall) 2015,Buffalo Sabres
Ryan Poehling,C,0.3069894086010436,https://www.spotrac.com/nhl/player/_/id/23704,1900000,2.16,1900000,-,2024,2,2,2026,3800000,UFA,25-266d,Jan 03 1999,3 Years,US,St. Cloud State,Round 1 (#25 overall) 2017,Philadelphia Flyers
Joe Veleno,C,0.2994168714724632,https://www.spotrac.com/nhl/player/_/id/27093,2275000,2.59,2275000,-,2024,2,2,2026,4550000,RFA,24-256d,Jan 13 2000,3 Years,CA,Drummondville,Round 1 (#30 overall) 2018,Detroit Red Wings
Alexander Holtz,R,0.277086672657624,https://www.spotrac.com/nhl/player/_/id/62864,894167,1.02,832500,-,2022,3,1,2025,5325000,RFA,22-245d,Jan 23 2002,,SE,,Round 1 (#7 overall) 2020,Vegas Golden Knights
Pavel Mintyukov,D,0.2992033255403835,https://www.spotrac.com/nhl/player/_/id/78320,918333,1.04,855000,95000,2023,3,2,2026,5200000,RFA,20-304d,Nov 25 2003,,RU,,Round 1 (#10 overall) 2022,Anaheim Ducks
Jonas Brodin,D,0.4360420606876947,https://www.spotrac.com/nhl/player/_/id/8252,6000000,6.82,8000000,-,2021,7,4,2028,42000000,UFA,31-77d,Jul 12 1993,10 Years,SE,Farjestad,Round 1 (#10 overall) 2011,Minnesota Wild
Michael Amadio,R,0.2770715269164946,https://www.spotrac.com/nhl/player/_/id/18832,2600000,2.95,2500000,-,2024,3,3,2027,7800000,UFA,28-136d,May 13 1996,5 Years,CA,,,Ottawa Senators
Alex Iafallo,L,0.3228353345913739,https://www.spotrac.com/nhl/player/_/id/21726,4000000,4.55,3700000,-,2021,4,1,2025,16000000,UFA,30-280d,Dec 21 1993,5 Years,US,Minnesota-Duluth,Undrafted LAK 2017,Winnipeg Jets
Eetu Luostarinen,C,0.3799952250540087,https://www.spotrac.com/nhl/player/_/id/23761,3000000,3.41,1000000,2500000,2024,3,3,2027,9000000,UFA,26-24d,Sep 02 1998,3 Years,FI,KalPa,Round 2 (#42 overall) 2017,Florida Panthers
Kiefer Sherwood,L,0.2569715888442496,https://www.spotrac.com/nhl/player/_/id/25031,1500000,1.7,775000,925000,2024,2,2,2026,3000000,UFA,29-180d,Mar 31 1995,,US,Miami (OH),Undrafted ANA 2018,Vancouver Canucks
Jesperi Kotkaniemi,C,0.3157135063182283,https://www.spotrac.com/nhl/player/_/id/27039,4820000,5.48,4820000,-,2022,8,6,2030,38560000,UFA,24-81d,Jul 06 2000,5 Years,FI,Assat Pori,Round 1 (#3 overall) 2018,Carolina Hurricanes
Jack Drury,C,0.2962621475407443,https://www.spotrac.com/nhl/player/_/id/27111,1725000,1.96,775000,1000000,2024,2,2,2026,3450000,RFA,24-235d,Feb 03 2000,2 Years,US,Waterloo,Round 2 (#42 overall) 2018,Carolina Hurricanes
Nicholas Robertson,L,0.2267167943663627,https://www.spotrac.com/nhl/player/_/id/31677,875000,0.99,875000,-,2024,1,1,2025,875000,RFA,23-14d,Sep 11 2001,,US,Peterborough,Round 2 (#53 overall) 2019,Toronto Maple Leafs
Shane Pinto,C,0.2930594127996786,https://www.spotrac.com/nhl/player/_/id/31656,3750000,4.26,2500000,-,2024,2,2,2026,7500000,RFA,23-317d,Nov 12 2000,2 Years,US,Tri-City,Round 2 (#32 overall) 2019,Ottawa Senators
Adam Fantilli,C,0.2502080153089472,https://www.spotrac.com/nhl/player/_/id/84491,950000,1.08,855000,95000,2023,3,2,2026,9450000,RFA,19-347d,Oct 12 2004,,CA,Michigan,Round 1 (#3 overall) 2023,Columbus Blue Jackets
Brayden McNabb,D,0.5606513505566819,https://www.spotrac.com/nhl/player/_/id/8003,2850000,3.24,2200000,-,2022,3,1,2025,8550000,UFA,33-250d,Jan 21 1991,10 Years,CA,Kootenay,Round 3 (#66 overall) 2009,Vegas Golden Knights
Dmitry Orlov,D,0.3845527791198308,https://www.spotrac.com/nhl/player/_/id/8756,7750000,8.81,7750000,-,2023,2,1,2025,15500000,UFA,33-67d,Jul 23 1991,11 Years,RU,Novokuznetsk,Round 2 (#55 overall) 2009,Carolina Hurricanes
Erik Gudbranson,D,0.4542713373481164,https://www.spotrac.com/nhl/player/_/id/6946,4000000,4.55,3500000,-,2022,4,2,2026,16000000,UFA,32-264d,Jan 07 1992,12 Years,CA,Kingston,Round 1 (#3 overall) 2010,Columbus Blue Jackets
Hampus Lindholm,D,0.4359569609496752,https://www.spotrac.com/nhl/player/_/id/10753,6500000,7.39,6000000,2000000,2022,8,6,2030,52000000,UFA,30-250d,Jan 20 1994,10 Years,SE,Rogle,Round 1 (#6 overall) 2012,Boston Bruins
Colton Parayko,D,0.6471377284860681,https://www.spotrac.com/nhl/player/_/id/16476,6500000,7.39,8000000,-,2022,8,6,2030,52000000,UFA,31-138d,May 12 1993,7 Years,CA,Alaska Fairbanks,Round 3 (#86 overall) 2012,St. Louis Blues
Esa Lindell,D,0.5042556066408416,https://www.spotrac.com/nhl/player/_/id/15230,5800000,6.59,5000000,-,2025,5,6,2030,26250000,UFA,30-127d,May 23 1994,8 Years,FI,Kiekko-Vanta,Round 3 (#74 overall) 2012,Dallas Stars
Jimmy Vesey,L,0.2823040865802973,https://www.spotrac.com/nhl/player/_/id/20981,800000,0.91,800000,-,2023,2,1,2025,1600000,UFA,31-124d,May 26 1993,6 Years,US,Harvard,Undrafted NYR 2016,New York Rangers
Miles Wood,L,0.2876526431138865,https://www.spotrac.com/nhl/player/_/id/18927,2500000,2.84,3250000,-,2023,6,5,2029,15000000,UFA,29-14d,Sep 13 1995,8 Years,US,Boston College,Round 4 (#100 overall) 2013,Colorado Avalanche
Justin Danforth,R,0.2649051978736681,https://www.spotrac.com/nhl/player/_/id/72857,1100000,1.25,1100000,-,2024,1,1,2025,1100000,UFA,31-196d,Mar 15 1993,2 Years,CA,,Undrafted CBJ 2021,Columbus Blue Jackets
Jack McBain,C,0.2667942655382142,https://www.spotrac.com/nhl/player/_/id/27132,1599999,1.82,1599999,-,2023,2,1,2025,3199998,RFA,24-263d,Jan 06 2000,2 Years,CA,Boston College,Round 3 (#63 overall) 2018,Utah Hockey Club
Ridly Greig,C,0.3231828280401118,https://www.spotrac.com/nhl/player/_/id/62885,863333,0.98,832500,-,2022,3,1,2025,2775000,RFA,22-48d,Aug 08 2002,,CA,,Round 1 (#28 overall) 2020,Ottawa Senators
J.J. Moser,D,0.4236255356696211,https://www.spotrac.com/nhl/player/_/id/73816,3375000,3.84,2700000,-,2024,2,2,2026,6750000,RFA,24-111d,Jun 06 2000,2 Years,CH,Biel,Round 2 (#60 overall) 2021,Tampa Bay Lightning
T.J. Oshie,R,0.2644460892263666,https://www.spotrac.com/nhl/player/_/id/4911,5750000,6.53,3000000,1000000,2017,8,1,2025,46000000,UFA,37-280d,Dec 23 1986,14 Years,US,North Dakota,Round 1 (#24 overall) 2005,Washington Capitals
Josh Manson,D,0.4860056722669472,https://www.spotrac.com/nhl/player/_/id/15543,4500000,5.11,4000000,-,2022,4,2,2026,18000000,UFA,32-356d,Oct 07 1991,9 Years,CA,Northeastern,Round 6 (#159 overall) 2015,Colorado Avalanche
Joel Armia,R,0.2894278897313284,https://www.spotrac.com/nhl/player/_/id/10738,3400000,3.86,3800000,-,2021,4,1,2025,13600000,UFA,32-119d,May 31 1992,8 Years,FI,Assat Pori,Round 1 (#16 overall) 2011,Montreal Canadiens
Cody Ceci,D,0.4311253167285617,https://www.spotrac.com/nhl/player/_/id/10762,3250000,3.69,3500000,-,2021,4,1,2025,13000000,UFA,30-280d,Dec 21 1993,10 Years,CA,Ottawa,Round 1 (#15 overall) 2012,San Jose Sharks
Curtis Lazar,C,0.2787343028858142,https://www.spotrac.com/nhl/player/_/id/13558,1000000,1.14,1000000,-,2022,3,1,2025,3000000,UFA,29-237d,Feb 02 1995,8 Years,CA,Edmonton,Round 1 (#17 overall) 2013,New Jersey Devils
John Marino,D,0.386204817931404,https://www.spotrac.com/nhl/player/_/id/32462,4400000,5.0,6150000,-,2021,6,3,2027,26400000,UFA,27-128d,May 21 1997,3 Years,US,,Round 6 (#154 overall) 2015,Utah Hockey Club
Matt Roy,D,0.5560877417153269,https://www.spotrac.com/nhl/player/_/id/21684,5750000,6.53,4000000,3000000,2024,6,6,2030,34500000,UFA,29-210d,Mar 01 1995,4 Years,US,Michigan Tech,Round 7 (#194 overall) 2015,Washington Capitals
Michael Eyssimont,C,0.309974662324541,https://www.spotrac.com/nhl/player/_/id/20429,800000,0.91,800000,-,2023,2,1,2025,1600000,UFA,28-17d,Sep 09 1996,1 Years,US,St. Cloud State,Round 5 (#142 overall) 2016,Tampa Bay Lightning
Paul Cotter,C,0.2870127097622144,https://www.spotrac.com/nhl/player/_/id/27185,775000,0.88,775000,-,2023,3,2,2026,2325000,RFA,24-314d,Nov 16 1999,1 Years,US,Lincoln,Round 4 (#115 overall) 2018,New Jersey Devils
Logan O'Connor,R,0.257103441501538,https://www.spotrac.com/nhl/player/_/id/27746,1050000,1.19,1250000,-,2022,3,1,2025,3150000,UFA,28-43d,Aug 14 1996,5 Years,CA,Denver,Undrafted COL 2018,Colorado Avalanche
Simon Holmstrom,R,0.2645339696369557,https://www.spotrac.com/nhl/player/_/id/31646,850000,0.97,850000,-,2024,1,1,2025,850000,RFA,23-124d,May 24 2001,,SE,HV 71,Round 1 (#23 overall) 2019,New York Islanders
Artem Zub,D,0.4266536029088581,https://www.spotrac.com/nhl/player/_/id/48255,4600000,5.23,4800000,-,2023,4,3,2027,18400000,UFA,28-359d,Oct 03 1995,2 Years,RU,,Undrafted OTT 2020,Ottawa Senators
Jeff Petry,D,0.4157175516439792,https://www.spotrac.com/nhl/player/_/id/7144,6250000,7.1,3000000,2000000,2021,4,1,2025,25000000,UFA,36-294d,Dec 09 1987,13 Years,US,Michigan State,Round 2 (#45 overall) 2006,Detroit Red Wings
Tomas Tatar,L,0.2406098280245851,https://www.spotrac.com/nhl/player/_/id/7140,1800000,2.05,1800000,-,2024,1,1,2025,1800000,UFA,33-302d,Nov 30 1990,12 Years,SK,Zvolen,Round 2 (#60 overall) 2009,New Jersey Devils
David Savard,D,0.3909726388799796,https://www.spotrac.com/nhl/player/_/id/6862,3500000,3.98,2300000,500000,2021,4,1,2025,14000000,UFA,33-342d,Oct 21 1990,11 Years,CA,Moncton,Round 4 (#94 overall) 2009,Montreal Canadiens
Mike Reilly,D,0.2852962963801125,https://www.spotrac.com/nhl/player/_/id/17955,1250000,1.42,1250000,-,2024,1,1,2025,1250000,UFA,31-76d,Jul 13 1993,7 Years,US,Minnesota,Round 4 (#97 overall) 2011,New York Islanders
Sam Lafferty,C,0.2844108078086642,https://www.spotrac.com/nhl/player/_/id/25003,2000000,2.27,1000000,1000000,2024,2,2,2026,4000000,UFA,29-205d,Mar 06 1995,3 Years,US,Brown,Round 4 (#113 overall) 2014,Buffalo Sabres
Sam Steel,C,0.2909305181975106,https://www.spotrac.com/nhl/player/_/id/20314,1200000,1.36,1200000,-,2024,1,1,2025,1200000,UFA,26-235d,Feb 03 1998,5 Years,CA,Regina,Round 1 (#30 overall) 2016,Dallas Stars
Nick Perbix,D,0.394270370685518,https://www.spotrac.com/nhl/player/_/id/76312,1125000,1.28,1032500,92500,2023,2,1,2025,2250000,UFA,26-103d,Jun 15 1998,,US,,Undrafted TBL 2022,Tampa Bay Lightning
Martin Pospisil,C,0.2859032451844163,https://www.spotrac.com/nhl/player/_/id/27175,1000000,1.14,1000000,-,2024,2,2,2026,2000000,RFA,24-311d,Nov 19 1999,,SK,Sioux City Musketeers,Round 4 (#105 overall) 2018,Calgary Flames
Pavel Dorofeyev,L,0.2252740385163764,https://www.spotrac.com/nhl/player/_/id/31703,1835000,2.09,775000,1295000,2024,2,2,2026,3670000,RFA,23-334d,Oct 26 2000,1 Years,RU,Magnitogorsk,Round 3 (#79 overall) 2019,Vegas Golden Knights
Jordan Spence,D,0.2790721383944179,https://www.spotrac.com/nhl/player/_/id/31719,1500000,1.7,1000000,300000,2024,2,2,2026,3000000,RFA,23-213d,Feb 24 2001,,CA,Moncton,Round 4 (#95 overall) 2019,Los Angeles Kings
Bobby McMann,C,0.2912943473837471,https://www.spotrac.com/nhl/player/_/id/76982,1350000,1.53,1350000,-,2024,2,2,2026,2700000,UFA,28-103d,Jun 15 1996,,CA,,Undrafted TOR 2022,Toronto Maple Leafs
Evgenii Dadonov,R,0.2100950646683647,https://www.spotrac.com/nhl/player/_/id/7147,2250000,2.56,2250000,-,2023,2,1,2025,4500000,UFA,35-200d,Mar 12 1989,9 Years,RU,St. Petersburg,Round 3 (#71 overall) 2007,Dallas Stars
